Repeat contributors in the IPCC,,,,,,,,
,,,,,,,,
1. All Assessment reports (Ars) and all Working goups (Wgs),,,,,,,,
,Non Available,Africa,South-West Pacific,Asia,Europe,"North America, Central America and the Caribbean",South America,Total
Population for min AR count 1,206,166,237,404,1119,1181,130,3443
Pourcentage population for min AR count 1,6%,5%,7%,12%,33%,34%,4%,
Population for min AR count 2,0,37,64,91,294,305,32,823
Pourcentage population for min AR count 2,0%,4%,8%,11%,36%,37%,4%,
Population for min AR count 3,0,10,37,26,113,120,13,319
Pourcentage population for min AR count 3,0%,3%,12%,8%,35%,38%,4%,
Population for min AR count 4,0,1,14,6,44,40,3,108
Pourcentage population for min AR count 4,0%,1%,13%,6%,41%,37%,3%,
Population for min AR count 5,0,0,2,0,5,6,0,13
Pourcentage population for min AR count 5,0%,0%,15%,0%,38%,46%,0%,
,,,,,,,,
,,,,,,,,
2. All Assessment reports (Ars) and only Working goup1 (WG1),,,,,,,,
,,,,,,,,
,Non Available,Africa,South-West Pacific,Asia,Europe,"North America, Central America and the Caribbean",South America,Total
Population for min AR count 1,10,34,108,140,551,643,26,1512
Pourcentage population for min AR count 1,1%,2%,7%,9%,36%,43%,2%,
Population for min AR count 2,0,7,31,27,165,168,7,405
Pourcentage population for min AR count 2,0%,2%,8%,7%,41%,41%,2%,
Population for min AR count 3,0,1,12,11,61,65,1,151
Pourcentage population for min AR count 3,0%,1%,8%,7%,40%,43%,1%,
Population for min AR count 4,0,1,4,1,22,23,0,51
Pourcentage population for min AR count 4,0%,2%,8%,2%,43%,45%,0%,
Population for min AR count 5,0,0,0,0,3,3,0,6
Pourcentage population for min AR count 5,0%,0%,0%,0%,50%,50%,0%,
